id,Sexo,ingresos,PromVisit,Edad,Sauna,Masaje,Hidro,Yoga
Tomkin Stickles,1,2555.23,1.94,21,1,1,0,0
Tyson Stovine,1,2476.87,5.83,29,1,1,0,1
Miller Carnachen,1,1209.36,6.07,23,1,0,0,0
Darnell Dine-Hart,1,1307.02,3.17,63,1,1,1,1
Wyatt Keyte,1,1511.78,2.08,41,0,0,0,0
Trip Vost,1,772.08,1.74,52,1,1,0,0
Ammamaria D'Errico,0,2749.35,4.58,41,0,0,1,1
Jessica Kuhn,1,1964.11,2.30,51,1,1,1,0
Hamnet Lindenberg,0,1577.93,2.44,62,1,1,1,0
Marga Kiley,0,1945.16,6.36,25,1,1,0,1
Pebrook Praton,1,1917.15,5.86,37,1,1,0,0
Koenraad Marchiso,1,699.14,2.64,34,1,0,1,0
Chase McManus,1,1945.28,2.52,47,0,1,1,1
Robinett Sauvan,1,2065.14,4.78,43,1,1,0,0
Jessica Dudding,1,988.99,3.72,47,1,1,0,1
Ortensia Kruschev,1,1671.93,2.17,58,1,1,0,1
Wanda Micheli,1,977.44,1.37,50,0,1,0,0
Leora Sissens,0,1437.47,4.48,34,0,1,0,1
Gerti Askell,0,859.38,5.89,58,1,1,0,0
Benson Lehrahan,1,2366.25,4.27,35,0,0,0,0
Garwood Crosham,1,2128.22,1.28,26,1,0,0,0
Cathie O'Reilly,1,2457.09,3.05,64,1,0,0,1
Christal McFfaden,1,410.30,5.81,54,1,1,1,0
Cointon Tigner,1,1709.80,6.83,64,1,1,0,0
Kelby Canwell,1,1183.91,2.73,32,1,1,1,0
Pierre MacDunlevy,1,2825.93,5.81,27,1,1,1,0
Yasmeen Ferfulle,1,2261.79,3.01,30,0,1,0,0
Kaylil Borrie,0,2890.23,1.35,37,1,1,0,0
Hillary Hartop,1,2164.66,3.23,52,1,0,0,0
Corbet Diem,1,2015.11,4.24,40,1,1,0,0
Aguistin Spera,1,255.94,5.35,54,1,1,1,0
Lilia Goomes,1,1436.97,1.71,48,1,1,0,0
Marijo Boddam,0,1129.64,5.16,53,1,1,0,0
Kathe Deegin,1,1708.64,6.12,22,0,1,0,1
Jean Kilgannon,0,1121.61,3.99,48,1,1,1,1
Aggi Conningham,0,2268.57,3.53,33,1,1,0,0
Janith Vakhonin,1,814.91,2.91,33,0,1,1,0
Constanta Davitashvili,1,2853.92,4.88,64,0,1,1,0
Pattin Dorrington,0,2912.09,3.70,55,1,1,0,0
Paloma Biswell,0,2442.25,6.19,62,1,1,0,0
Rosemaria McCloughen,1,2309.15,6.72,50,1,1,0,0
Ruggiero Brosnan,1,1945.44,5.92,45,1,1,1,0
Alisander Janway,1,2372.80,4.35,29,1,1,0,0
Kevina Mayou,0,1614.62,3.89,26,0,1,0,0
Tamar McGillreich,1,925.61,4.06,48,1,1,1,0
Leighton Lydiatt,1,922.49,3.20,59,1,1,0,1
Fredra Brockley,1,639.06,4.36,46,1,1,0,1
Giselbert Ashford,0,1743.81,2.01,39,1,1,0,1
Florenza Fullbrook,0,2110.43,4.24,22,1,1,1,0
Reg Nelmes,1,2886.75,2.97,61,1,1,1,0
