id,Sexo,ingresos,PromVisit,Edad,Sauna,Masaje,Hidro,Yoga
Leoline Dofty,1,1150.52,1.79,35,0,0,1,1
Angelita Jaquemar,1,1458.84,2.82,36,1,1,0,1
Drugi Enriquez,0,1748.80,3.70,63,1,1,1,0
Britte Campe,1,1828.86,1.29,22,0,1,0,1
Sal Pyle,1,894.69,4.29,24,0,0,0,1
Genvieve Stading,1,2536.14,5.05,55,1,1,0,0
Emmye Johannesson,1,1679.81,4.53,26,1,0,1,1
Ken Pyson,0,1817.95,5.31,49,1,0,0,1
Rocky Robertacci,0,1593.44,5.48,60,1,1,1,0
Brock Morena,1,1680.75,2.03,64,0,1,0,1
Madalena Tooting,1,711.88,4.29,29,1,0,0,0
Danna Pinock,1,1022.08,4.61,31,1,0,1,1
Hildagarde Caulkett,1,1847.22,5.72,22,1,1,1,0
Marketa Blades,0,1363.23,3.66,37,1,0,0,1
Kristy Laffranconi,1,1000.71,2.54,52,0,0,0,1
Noah Gamet,0,1284.82,6.37,35,0,0,0,0
Pip Wilfinger,1,818.07,4.62,62,1,1,1,1
Berti Joncic,1,763.83,3.70,40,0,0,0,1
Lissy Blenkinsop,1,2052.17,3.46,23,1,1,0,0
Phil Wadworth,1,1125.15,6.13,65,0,1,1,1
Christin Gillcrist,1,2274.88,5.24,40,1,1,1,0
Bart Oty,0,2343.67,3.89,55,0,1,1,1
Shara Le Provest,1,1877.76,5.16,50,1,1,0,0
Elysia Janas,1,2349.44,3.18,32,0,1,1,0
Gillian Dudin,1,2359.03,2.37,38,0,1,0,1
Armin Cano,0,1837.09,1.07,32,1,0,1,1
Winnifred Freake,1,2630.86,3.02,63,0,1,0,0
Elfreda Splevings,0,1616.96,1.76,31,1,0,0,0
Domenic Novkovic,1,1593.19,5.59,33,1,1,0,1
Ferdinande McGriele,1,2839.56,6.29,37,1,0,0,1
Zane Paniman,1,1661.21,1.44,43,0,1,1,0
Elwood Lindenstrauss,0,2594.58,4.40,30,0,0,1,1
Paulita Bastiman,0,1344.72,2.54,38,0,0,1,0
Addy Dillinton,0,1167.58,1.50,43,0,0,0,1
Theda Eggle,1,2147.99,4.52,50,0,0,0,0
Christean Orpyne,0,2683.35,3.31,54,1,0,0,1
Roseline Kildale,1,349.05,3.78,53,0,1,1,1
Maddi Bufton,0,1658.62,1.26,30,1,0,0,1
Carlotta Aujean,0,2964.53,6.02,62,0,1,1,1
Adore Robottom,0,2723.01,4.76,61,1,1,0,0
Melesa Harbertson,1,1177.62,6.12,51,1,0,1,1
Tilda Gludor,1,2747.24,2.06,49,1,0,0,0
Justin Agass,1,291.91,3.04,30,0,0,0,0
Antoinette Jeffcoat,0,284.59,4.51,26,0,1,1,0
Sayre Cowp,1,1988.48,6.32,36,1,0,1,0
Arturo Cornels,1,2331.35,1.60,59,0,0,0,1
Vivienne Plum,0,576.09,4.20,44,1,1,1,0
Pete Gillingham,0,1818.79,2.54,46,1,1,1,0
Deloria Gilleon,0,2996.03,6.73,34,1,1,1,0
Chrotoem Ruegg,1,2645.35,3.23,30,1,0,0,1
Olivia Lembcke,1,2903.62,1.23,28,0,0,0,0
