id,Sexo,ingresos,PromVisit,Edad,Sauna,Masaje,Hidro,Yoga
Cynthy Crich,0,1175.45,6.88,50,1,1,0,1
Felicle Biglin,0,2956.11,6.08,32,0,1,0,1
Carey Billington,0,2454.94,3.27,25,1,1,1,1
Correy Dello,0,1253.40,1.93,42,0,1,0,1
Simmonds Pennazzi,0,1153.21,2.94,45,0,1,0,0
Karylin Benit,0,2560.18,6.59,27,0,0,1,0
Bibbie Betjeman,0,2945.27,6.36,35,0,1,0,1
Rois Bust,0,1599.55,2.53,26,1,1,0,1
Tillie Frowd,0,2683.42,3.60,61,0,0,0,0
Hallie Edlington,0,1856.95,2.41,53,1,0,0,0
Lindy Harradence,0,581.43,4.70,61,0,1,0,0
Rozanne Kingsnorth,0,2834.67,5.28,44,0,1,1,1
Hew Poytress,0,664.08,2.40,29,0,1,0,1
Cleopatra Briars,0,2417.29,2.20,25,0,1,0,0
Reid Henrichsen,1,2327.39,6.79,64,1,1,0,1
Anabella Bugdell,0,786.44,2.50,22,0,0,1,1
Pris Van Vuuren,0,512.41,1.58,58,1,1,0,0
Licha McConnulty,1,1164.59,3.18,45,0,0,1,1
Chevalier Deftie,1,2610.60,1.32,64,0,0,0,1
Tedd Knappen,1,1696.28,5.61,35,1,1,0,1
Johan Blest,0,843.80,5.04,28,0,0,0,1
Nita Billion,0,2963.04,1.66,63,0,1,1,0
Perceval Hunnawill,1,708.44,4.23,61,0,1,1,1
Reagan Rassell,0,1934.57,2.04,37,0,0,0,1
Delainey Keach,0,2508.59,3.13,38,0,1,1,1
Barrett Ledbury,0,2996.81,6.03,21,0,0,0,1
Christen Parmiter,0,1300.11,3.72,55,1,0,0,1
Bobbie Benmore,0,2820.72,4.59,27,0,0,0,1
Sid Beachamp,0,784.07,1.89,37,1,1,0,0
Collin Happs,0,1641.65,4.97,34,0,0,0,1
Kathye Dank,0,2659.94,2.56,49,0,0,0,1
Ellene Lorraine,0,1101.32,5.47,38,0,0,0,0
Nicolette Threadgold,0,1632.39,4.68,46,1,1,0,0
Gale Gatheridge,1,1408.38,3.69,56,0,1,0,0
Lowrance Dowzell,0,2376.57,1.59,34,0,0,0,1
Wilma Coyett,0,403.63,1.34,57,0,1,0,0
Boigie Voak,0,356.59,1.69,25,0,1,0,1
Roxanne Jerrim,0,2257.69,1.89,58,0,0,0,0
Ana Deppe,0,705.04,6.88,21,0,0,0,0
Nikaniki Decker,0,2622.42,6.66,50,0,1,1,1
Dur Farreil,0,648.59,1.18,62,0,0,1,1
Warner Pedrielli,0,2306.28,3.76,45,0,1,1,0
Amanda Apfler,0,913.26,1.67,39,1,0,0,0
Shaun Czajkowski,1,2892.52,2.36,24,0,0,0,1
