id,Rosas,Claveles,Macetas,Tierra,Girasoles,Hortensia,Globos,Tarjetas,fOrquídias,Carmesí,Lirios,Aurora,Tulipanes,Listón
Egon Greenhead,1,0,0,0,1,1,1,0,0,0,1,0,0,1
Elita Borles,1,0,0,0,1,1,0,0,0,1,1,0,1,1
Kingsly Yerrell,1,1,0,0,1,1,1,1,1,1,1,1,0,1
Graehme Donson,1,0,1,1,0,0,1,0,0,0,1,0,1,0
Wini McJury,1,1,0,0,1,1,0,1,1,0,0,1,1,1
Abigael Hallagan,1,1,0,1,0,0,0,1,1,0,1,1,1,0
Eldon Parrett,0,1,0,0,0,0,1,0,1,0,0,0,0,1
Bernelle Cohrs,0,0,1,0,1,1,0,1,1,0,1,1,0,0
Cordelie Becconsall,0,0,0,0,0,1,0,0,1,1,0,1,1,1
Jody Mewrcik,0,1,1,1,0,1,1,0,1,0,1,0,0,0
Gill Aisbett,1,1,1,0,0,1,0,1,0,1,0,0,1,1
Jarrad Bayle,0,1,0,0,1,0,1,0,1,1,1,1,1,1
Carolin Oxer,1,1,0,1,0,0,1,1,0,0,1,1,0,0
Alain Dodsley,1,1,0,1,1,0,1,0,0,0,1,1,1,0
Kelly Bohman,1,1,0,0,1,0,0,1,1,1,1,1,0,0
Didi Agnew,1,0,0,1,1,0,1,0,1,1,1,1,1,1
Culver Simkins,1,1,1,0,1,0,1,1,0,1,0,1,0,1
Lenka Josuweit,1,0,1,0,1,0,0,0,1,0,1,0,0,1
Rochell Pitson,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Laurie Harle,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Cassandry Emmins,0,0,0,0,0,1,0,0,1,1,0,1,1,0
Sharleen Delbergue,0,0,1,1,1,1,0,0,0,1,1,0,1,0
Lindon Anstiss,0,0,1,0,1,0,0,1,1,0,1,0,1,1
Deeyn Ferencz,1,0,1,1,0,1,1,1,1,1,0,0,1,0
Valenka Gouda,0,0,0,1,0,1,0,0,1,0,0,1,1,0
Darnall Giottini,1,0,0,0,1,0,1,0,1,1,0,0,1,1
Cristabel Ganley,1,0,0,1,0,1,1,1,1,1,0,0,0,0
Chalmers Gostridge,1,0,0,1,0,1,1,1,1,0,1,0,1,0
Patty Ekins,0,0,1,1,1,0,0,0,1,0,1,0,1,0
Corabella Dubble,0,1,1,1,0,1,0,0,1,0,0,0,0,1
Ardyce Straine,0,0,1,1,1,1,0,1,1,1,1,0,0,0
Aggie Dowglass,0,1,1,1,1,1,1,1,1,1,0,1,1,0
Fidela McGeachy,0,0,1,0,0,1,1,1,1,0,1,0,0,1
Estrella Clow,1,1,1,0,0,0,0,1,0,1,0,1,1,0
Sinclair Caw,0,1,1,1,1,0,0,0,1,1,0,1,1,0
Giovanna Scopes,1,1,0,1,1,1,1,0,0,0,1,0,1,0
Mariska Tootin,1,0,0,0,1,0,0,1,0,1,0,1,0,1
Westley Campkin,1,0,1,1,0,0,1,0,0,0,0,0,1,1
Rickard Welfair,0,1,0,0,1,0,1,0,1,1,1,0,1,0
Donna Bean,0,1,0,0,1,1,1,1,0,0,1,1,0,0
Estrella Tidbury,0,0,0,0,1,1,0,0,0,0,0,1,0,1
Dunstan Doumerc,0,0,1,1,0,1,1,0,0,0,1,1,1,1
Tadio Kohrsen,0,0,1,1,1,1,0,1,0,1,0,0,1,0
Dita Everton,0,0,1,0,0,0,1,0,1,0,0,0,0,1
Arlen Gange,1,0,1,0,0,1,1,1,0,1,0,1,0,0
Yale Sleight,1,1,0,0,0,1,0,0,1,1,1,1,1,0
Morlee Tome,1,0,0,0,1,0,0,1,1,0,0,0,0,0
Donalt Vankeev,0,1,1,1,0,0,0,0,1,1,1,0,0,1
Danette Kolodziejski,0,0,1,0,1,0,0,1,1,1,0,0,1,0
Gertrudis Baldelli,0,0,1,1,1,0,1,1,0,1,0,0,0,1
Shelbi Eard,0,0,1,1,0,0,0,1,1,1,0,0,0,0
Madelaine Broxis,1,0,1,0,0,1,1,1,1,1,0,1,0,0
Ossie Rubinsztein,1,1,1,0,0,1,1,0,1,1,1,0,1,0
Christy Schimek,1,0,0,1,0,1,0,0,0,1,0,1,0,0
Flint Jerdon,1,1,0,1,1,1,1,1,1,1,0,1,1,0
Andeee Petruk,0,0,1,0,1,1,1,1,0,1,0,0,1,1
Coralie Labat,0,0,0,1,0,1,1,0,1,1,0,1,1,1
Tarah Hanning,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Tracie Matthiesen,1,1,0,1,0,0,0,0,1,0,1,1,1,0
Selig Stennett,0,0,0,0,0,0,1,0,0,1,1,1,0,0
Tawnya Candlish,1,1,0,0,0,0,0,1,0,1,0,0,0,1
Sherman Jerdan,0,0,0,0,1,0,1,1,1,1,1,1,1,0
Wilma Houlston,0,1,1,1,1,0,1,1,1,1,1,0,1,1
Morey Klimt,0,1,0,0,1,0,0,0,1,0,0,1,1,0
Letta Dandy,0,0,1,0,1,0,0,1,0,1,0,0,0,0
Marinna Koenraad,0,1,0,1,0,0,1,1,0,0,0,1,1,0
Edouard Cahan,1,1,0,0,1,0,1,0,0,0,0,0,0,0
Chester Crippes,1,1,0,0,1,0,0,0,0,1,1,1,1,0
Haywood Cranmere,0,1,0,0,1,0,1,0,0,0,0,1,0,0
Clari Fehners,1,1,0,1,1,1,1,1,0,0,1,1,0,1
Stephenie Sedman,0,0,0,1,0,0,1,0,1,0,1,0,0,0
Tessy Pelling,0,1,1,0,0,1,0,1,0,0,1,0,0,0
Burg Wakelin,0,1,0,0,1,0,0,0,1,1,0,1,1,1
Gilli Parrish,1,1,0,1,1,1,1,1,0,1,1,0,0,0
Viviyan Jarred,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Glad Senchenko,0,0,0,1,0,1,1,0,0,1,0,0,0,0
Erroll Streeten,1,0,0,1,0,0,1,0,0,1,1,0,0,1
Travers Dumpleton,1,0,1,0,1,1,0,1,1,1,1,1,0,1
Coriss Worstall,1,0,0,1,0,0,1,0,0,0,1,1,0,1
Rosie Cotillard,0,0,1,1,1,0,1,0,1,1,0,0,1,1
Ely Sprake,0,0,1,0,1,0,0,1,0,1,1,0,1,1
Giustino Elsey,0,0,1,0,0,0,1,1,1,0,1,1,1,0
Lisabeth Fakes,1,0,1,0,1,0,0,0,1,0,0,1,1,1
Linette Follis,1,1,0,0,0,1,0,0,0,0,1,1,1,0
Bradley Galler,1,0,0,1,0,1,1,1,1,1,0,1,0,1
Devi Bucknill,1,0,0,1,1,1,0,1,1,1,0,1,0,1
Knox Gianulli,1,0,1,1,1,0,1,0,1,0,0,1,1,1
Annice Tupman,1,1,1,0,1,1,0,0,0,0,1,0,1,0
Nadya Creffeild,1,0,0,0,1,1,1,1,0,1,0,1,0,1
Torre McCleverty,1,1,0,1,1,1,0,0,1,1,0,1,0,1
Sheila Land,0,1,1,1,1,0,1,1,0,0,0,0,1,1
Allayne Burtt,0,1,1,1,0,0,0,1,1,1,1,1,0,0
Cassondra Ginnaly,0,1,0,1,0,0,0,0,0,0,1,1,1,0
Yurik Chasles,1,0,1,1,1,0,1,1,1,1,0,1,0,0
Barty McParlin,1,0,0,0,0,1,0,1,0,0,0,1,1,1
Tabor Gilcrist,0,0,1,0,0,0,1,0,0,0,1,0,1,1
Staffard Pellatt,1,0,1,1,0,1,0,1,0,1,1,1,0,1
Bobby Izzett,1,1,0,1,1,1,0,0,0,1,1,1,0,1
Ingrid Lathe,0,1,1,0,0,0,0,1,0,1,1,1,0,0
Maxie Aberdeen,1,1,1,1,1,0,0,1,0,1,1,0,1,1
Idaline Loadman,0,1,0,1,1,1,1,1,1,0,1,1,1,1
Eda Iwaszkiewicz,1,1,0,0,0,1,0,1,1,0,0,1,1,1
Cyb Vasenkov,0,1,1,1,0,1,0,1,1,0,1,1,0,0
Charmain Burrett,1,1,0,1,1,0,1,1,1,1,1,0,1,1
Sanders Doige,0,0,0,0,0,1,0,0,1,1,0,0,1,0
Urbain Symcoxe,0,0,1,0,1,1,1,1,1,1,1,1,0,1
Coralie Admans,0,0,1,0,1,1,0,0,1,1,1,0,0,1
Burton Mallett,0,1,0,1,0,0,1,1,1,0,0,0,1,1
Erin Cleveley,1,1,1,0,0,1,0,1,1,0,1,0,0,1
Ciro Brunelli,0,1,1,1,0,1,1,0,1,1,1,1,1,1
Prudi Marklund,0,1,0,1,0,0,1,0,1,1,1,1,0,0
Bernhard Tanzig,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Hally Marrable,0,0,0,1,0,1,0,0,1,0,0,1,1,0
Baily Gatecliffe,1,0,1,1,0,0,0,1,0,0,0,1,1,1
Leland Pawellek,1,1,0,0,1,1,1,0,1,0,0,1,1,1
Ainslee Berens,0,0,1,1,1,0,1,0,0,1,1,1,0,0
Tad Glowacha,1,0,0,0,1,1,0,0,1,0,1,1,0,1
Eberhard Hubbart,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Roderich Cusiter,1,0,1,0,1,1,0,1,0,1,1,1,1,0
Roselia Darque,1,1,0,1,1,0,0,1,1,0,0,1,1,1
Katherina Mowday,1,1,1,0,0,0,0,0,0,0,0,1,0,1
Berton Bevis,0,1,0,0,0,1,1,0,1,1,1,0,1,1
Maureene Starking,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Ike Biasotti,1,0,1,1,0,1,1,1,1,0,0,0,0,0
Guthrie Pettifor,0,0,1,0,1,0,1,0,0,0,0,1,1,1
Flemming Dod,1,1,0,0,0,0,0,1,1,1,1,1,0,0
Devlin Lestor,0,0,0,0,0,1,0,1,1,1,0,1,0,1
Judye Manvelle,1,1,0,0,0,0,0,0,0,1,0,1,0,0
Bradford Hemerijk,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Jacynth Zanelli,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Bradford Amdohr,0,0,1,1,0,1,0,0,0,0,1,0,1,1
Zane Vaughton,0,0,0,1,0,1,0,0,1,1,0,0,0,1
Sharai Waywell,0,0,1,1,0,1,1,1,1,0,1,1,1,1
Loria Gillooly,1,0,0,1,0,1,1,0,1,0,1,1,0,1
Annora Barrasse,1,1,1,0,1,1,0,0,0,1,0,1,1,0
Feodora Nerheny,1,1,1,1,1,0,0,0,0,0,0,1,0,0
Flinn Rabbe,0,1,1,0,0,0,0,0,1,1,1,1,0,0
Tarrance Fazackerley,0,1,1,1,1,1,0,1,1,1,1,0,1,1
Candida Crock,1,0,0,1,0,1,0,0,0,1,1,1,0,1
Salem Mobius,0,1,0,1,0,1,1,1,1,0,0,1,0,1
Rozanne Tyzack,1,0,0,0,1,1,1,1,0,0,1,1,1,1
Sheila-kathryn Bussy,0,1,1,0,1,1,0,1,1,0,0,0,1,1
Othella Braisher,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Edy Biggerdike,1,0,1,0,0,1,0,1,0,1,0,1,0,1
Milzie Morriarty,1,1,1,0,1,0,1,1,0,0,0,0,0,1
Tito Fausch,1,0,1,0,1,1,0,1,1,1,1,0,1,0
Elbert Dagleas,1,0,0,0,0,0,1,1,0,0,1,0,1,0
Velvet Bashford,1,0,1,1,0,1,0,1,0,1,0,1,1,0
Jacquenette McGhie,1,0,1,0,1,0,0,1,1,1,0,1,1,0
Raddy Norrey,0,0,0,0,0,1,1,0,1,1,0,0,0,1
Alaster Ballard,1,0,1,0,0,0,1,0,0,0,1,0,1,0
Janean Andreev,0,0,1,1,0,0,0,1,0,0,1,1,1,1
Frazer Mellor,0,1,1,1,0,0,1,0,1,1,1,0,0,0
Ed Wingate,1,1,1,0,1,0,1,0,0,1,0,0,0,0
Jard Lowdeane,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Ynes Craufurd,1,1,0,1,0,0,1,0,0,0,1,0,0,1
Sheila Jope,1,0,1,0,0,1,0,1,1,0,0,0,1,0
Gwenny De Giorgis,1,0,1,1,0,1,0,1,1,1,1,1,0,1
Zonda Tittershill,1,0,1,1,0,0,1,0,1,1,0,0,0,1
Cortney Growcock,1,0,1,1,1,0,0,1,1,0,1,0,0,1
Nathanial Asel,1,1,0,1,1,0,0,0,0,1,1,0,0,1
Emilia Kembery,0,0,0,0,1,1,0,1,0,1,1,1,1,1
Cori Mound,1,0,0,0,1,1,1,1,0,1,1,0,1,0
Hube Darben,1,1,1,0,1,1,1,1,1,1,0,0,0,0
Ben Valencia,1,1,0,0,0,0,1,1,0,0,1,0,0,0
Karlyn Cawood,0,1,0,0,1,1,0,0,0,1,0,1,1,0
Raddy Bimson,1,0,0,0,0,1,1,0,1,1,0,0,1,0
