id,Rosas,Claveles,Macetas,Tierra,Girasoles,Hortensia,Globos,Tarjetas,fOrquídias,Carmesí,Lirios,Aurora,Tulipanes,Listón
Loren Pritty,1,0,1,1,0,0,1,1,1,1,1,1,1,0
Curran Lackey,1,1,1,1,0,0,0,1,1,1,0,0,1,1
Marietta Luff,1,1,0,1,0,0,1,1,1,1,0,0,1,1
Codi Finnemore,1,0,1,0,0,1,0,1,1,1,1,0,1,1
Keane McMains,1,0,0,1,0,0,0,0,1,0,0,1,1,1
Markus Fursland,1,1,0,0,0,1,1,0,0,1,1,1,1,1
Davide Paulou,0,0,0,1,1,1,0,1,1,0,0,1,0,1
Valentine Giottoi,1,0,1,1,0,0,0,0,0,0,1,0,0,1
Atalanta O'Hagirtie,1,0,0,1,0,0,1,1,1,1,0,0,1,1
Roze Cratchley,1,1,0,1,1,1,1,1,1,0,0,1,0,1
Milicent Bewsey,1,0,1,0,1,1,1,1,0,0,0,0,0,0
Missy Galbreth,1,1,1,1,1,0,1,1,0,0,0,0,0,1
Opal Stopper,1,1,1,1,1,0,1,1,0,1,1,0,0,1
Dot Joslin,0,1,0,0,0,1,1,1,1,0,0,1,0,0
Darbee Slyvester,1,0,1,0,0,0,1,1,1,0,0,1,1,1
Roseann Kipping,1,0,1,1,1,0,1,0,1,0,1,0,0,1
Rudd Saylor,1,1,0,0,0,0,1,0,0,0,0,0,0,1
Rebe Harms,1,1,0,1,1,1,1,1,0,0,0,1,1,1
Kylynn Tampling,0,1,0,1,0,0,1,0,1,1,0,1,0,1
Anallese Panks,1,1,1,1,0,0,1,1,0,0,0,1,1,1
Trstram Pemble,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Dallon Olner,1,0,0,1,1,0,1,1,1,1,1,0,0,1
Brigitta Ostridge,1,0,1,0,1,1,1,0,1,0,1,0,1,1
Gerard Whiteley,0,1,0,1,1,0,1,0,1,1,0,1,0,1
Euphemia Dibb,1,1,0,1,1,1,1,1,1,0,1,1,0,1
