id,Rosas,Claveles,Macetas,Tierra,Girasoles,Hortensia,Globos,Tarjetas,fOrquídias,Carmesí,Lirios,Aurora,Tulipanes,Listón
Blake Farrell,0,0,1,0,1,1,1,0,1,1,0,1,1,1
Guendolen Hundey,0,0,0,0,1,0,0,1,1,0,0,1,1,0
Georgiana Turmell,0,1,0,0,1,1,0,1,0,1,0,1,0,0
Giorgi McCullen,1,0,0,1,1,1,0,1,1,0,0,1,1,0
Ole Broadbere,1,0,0,0,0,0,1,1,1,1,0,1,0,0
Leroi Timny,1,1,1,0,1,1,0,1,1,1,0,0,1,0
Karlene Meller,0,1,1,1,0,1,1,1,1,1,0,1,1,1
Raquela Oda,1,1,0,0,1,0,1,1,0,1,1,1,0,0
Merci Ruppelin,0,0,1,1,0,0,0,0,1,1,1,1,1,0
Jacky Druitt,0,1,0,0,1,0,0,1,0,1,1,0,0,0
Sarena Pettwood,0,0,1,1,0,1,1,0,1,0,1,0,0,0
Davita Whetnell,0,0,0,0,0,0,0,1,1,1,0,0,1,0
Faythe McKomb,1,1,1,0,0,0,0,0,0,1,1,1,0,1
Cleopatra Bourton,0,0,1,1,1,0,1,0,1,0,0,1,1,0
Heda Camm,0,0,0,1,1,0,1,0,1,1,0,1,0,0
Zita Pacey,0,0,1,0,1,0,0,1,1,1,1,1,0,0
Sky Mannie,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Alexi Gulliver,1,1,1,0,0,0,1,0,1,1,1,0,0,1
Pearline Jirsa,0,1,1,0,0,0,0,1,1,1,0,1,0,1
Chas Kubis,1,0,1,1,1,1,1,1,0,1,0,0,1,0
Karalynn Brownhill,1,1,1,1,0,0,0,0,0,1,1,0,0,0
Nicolis Illing,0,1,1,0,0,1,1,0,0,1,1,1,0,0
Spenser Jeffs,0,1,0,0,1,1,0,1,1,0,0,0,0,1
Barbabra MacCumeskey,1,1,1,0,1,1,0,0,0,0,0,1,0,0
Edita Tremblet,1,0,1,1,1,0,1,0,0,0,1,0,1,0
Stan Girauld,0,0,0,1,0,0,1,0,1,1,1,0,1,0
Rand Gabbitis,1,1,1,0,1,0,0,1,1,0,1,1,1,0
Karen Dew,0,0,1,0,1,0,0,0,0,0,0,0,0,0
